userName,score,at,content
Athika Sofwa,2,2026-05-04 21:05:28,"kacau , masalah swafoto sedang ditinjau kenapa proses terlalu lama, padahal sudah premium."
Brenda Lorens,1,2026-05-03 14:37:30,"After downloading it to my PC, a virus was detected within the application. Warning: This application is vulnerable to malware, worms, and adware/spyware. Thank you for using Bitdefender Total Security."
Lia Prihatin,1,2026-05-03 11:25:34,apk kurang bgs byk peraturan awal msk
Good Player,5,2026-05-03 10:48:58,"na gitu developer, untuk harga berlangganannya dibawah Rp.200.000 per minggunya, pasti ramai yang pakainya untuk member goldnya, immensely good, really prodigious, baru the best appnya, ramai pasti usernya, jdi banyak pada suka ni app, tq bgt developer, semoga appnya, makin banyak user yg intall dan berlangganan, soalnya benar2 mantap app, luarbiasa, jangan berubah ya developer setelan appnya, takutnya orang berlangganannya, cuman sebentar, kn enak, harganya, dibawah 200k, dari perminggu-tahunan"
Ublag Omg,5,2026-05-03 01:41:05,mengapa akun saya terjadi kesalahan terus?
Deni Rentang,5,2026-05-03 01:24:17,bagus
Indra Lesmana,1,2026-05-03 00:19:21,aplikasi busuk
Apreli Fafah09,5,2026-05-01 19:14:49,SAYA SUDA BERLANGANAN TAPI AKUN SAYA DI BLOKIR PADAHAL TIDAK MELAKUKAN APA APA. SUDAH TOP UP KNPA DI BLOKIR. RUGI DONG BARU BGT TOP UP TADI SIANG
Rizky Dwi,1,2026-05-01 17:44:59,apk gak.jlas najis
JUAN wilytan,1,2026-04-30 21:00:55,"Maaf saya ulas keluhan saya kepada pihak tinder disini; karena semua upaya saya tidak ditanggapi pihak tinder; Saya baru saja membeli paket Gold 2hr yang lalu, esok harinya akun saya diblokir dengan alasan diduga mnggunakan identitas orang lain; Padahal selama berbulan"" sebelum berlangganan, akun saya berjalan baik, tidak ada masalah sama sekali. Setelah kasus ini terjadi pengguna sama sekali tidak diberikan ruang klarifikasi, hanya disuruh menunggu putusan banding smentara paket terus berjalan."
Ari Galang P,1,2026-04-30 17:00:27,"apk busuk, confirm no telp aja ribet. kode gak keluar"""
Misra Pos pos,1,2026-04-30 01:18:06,pesanan mau ngebls tpi pda hilang ni ngebug apa gmn si?beda bgt sma apk kencang yg lain ni lebih pelit lgi
heniiy ameliia,2,2026-04-29 15:17:15,sekarang gak bisa login fb payah
shtaldirenaldi24,5,2026-04-29 11:40:40,bagus sekali
Akhmad Juhari,1,2026-04-29 03:06:23,banyak akun penipu
Ibnu Shina_2704,3,2026-04-28 16:38:18,"yang bener aja anjir,ini tinder gw knp bagian ""jelajah"" g muncul orang/""kesalahan terjadi,harap coba lagi"" hedeh kocak rusak²"
mas imam,3,2026-04-28 15:58:13,"kenapa ya heran tinder gak bsa ganti nama n usia, PDAL hal simpel kayak gni gak bsa."
Fuzea Maggiore,3,2026-04-28 13:38:18,"Baru mau masuk/daftar sama skli ga bisa udh masukin no , masukin akun Gmail ttp ga bisa loading parah , dàn pas mau dàftar tiba2 muncul kata ""verifikasi bahwa anda adalah manusia"", ngakak bnget dikiranya aku setan apa yah, hadeuhh lgian mana ada sih dedemit main apk ini"
Alan Ansyah,1,2026-04-28 08:42:35,muter terus di verivikasi najis bet dah
Tisya Bone,1,2026-04-27 10:42:53,ternyata untuk mengirim pesan harus berbayar
Jacky Duke Cervantes,1,2026-04-27 07:11:00,segalanya harus bayar termasuk chatting sekalipun. 🙄
Bagus Aditya,5,2026-04-27 06:57:23,"punya akun tinder lama daripada nganggur mending dijual, buat event luar negri. data aman, foto bisa dihapus dulu cuma butuh akunya doang. bisa langsung inbox buat check tahun pembuatan dan tanya"" juga bole langsung inbox"
azis abid,1,2026-04-27 05:55:08,aplikasi ampas. ribet. gak usah download
Agung,3,2026-04-27 02:37:49,kok aplikasi sekarang susah di buka.....aku turunin rating nya yaaa
Icank Kancil,2,2026-04-26 20:10:59,ini tinder kenapa sih kok gangguan terus
Adhi S Riyadi,2,2026-04-26 04:45:03,Gue kira apk jodoh gratis taunye bayar ogahahahaha
Siska Oktafiyani,4,2026-04-26 03:23:42,verifikasi swafoto ny lama banget....sdh nunggu sehari belum selesai juga padahal banyak chat yang blm di bls
Benua,1,2026-04-24 17:55:17,sudah mengganti foto berkali-kali tetapi tidak muncul verifikasi profil 👎
Niken Veronica,1,2026-04-24 14:01:15,"tidak bisa melakukan transaksi error/gagal terus berkali kali udh buka tutor udh coba semua tkut makin lama diblokir lgi.udh minta bantuan di pengaturan tindernya gaada kelanjutan nya, helppp meee"
Nanas Manis,1,2026-04-24 13:05:11,verig gagal mulu kocakkk
Yuning Sih,1,2026-04-24 10:18:22,kenapa saya di blokir tolong buka lagi akun saya
Ariyadi Milanisti,5,2026-04-23 23:03:13,info dong cara membatalkan langganan berbayar nya gimana ya
Pinky Pink,5,2026-04-23 15:01:17,nice
WANITA BISA,1,2026-04-23 07:38:38,"banyak orang orang penipuan di apk ini, hati hati temen temen yang dapet kenalan suruh transfer ini itu jangan mau, walaupun dia mengaku dewa sekalipun."
Kasenja,1,2026-04-22 22:07:28,tolong adakan lagi login tinder facebook di android
Anisa Fitri,1,2026-04-22 14:14:51,baru premium 2 hari sudah di blokir oleh tinder 🤦🏿‍♀️gk untuk di install
Ican Grimorum,1,2026-04-22 03:17:16,tidak bisa dipakai
Prasasti995,5,2026-04-21 17:20:24,saya tidak masuk apk
Besatjals Hskaks,1,2026-04-21 07:03:04,qris gabisa pembayaran aplikasi cacat
araszn zn,4,2026-04-21 04:39:08,selamat mencoba
Ling Hanuwar,5,2026-04-20 22:58:49,Sekarang isinya cuma fake account dan tukang tipu
Asep Balon,5,2026-04-20 04:52:18,keren
Brotherhood,1,2026-04-19 15:33:45,aplikasi komersil dongo
Rere Alme,5,2026-04-19 14:44:29,ayo download
Raihan,4,2026-04-19 12:25:15,sayang kalo mau Chetan harus nonton iklan dulu
Agus Siswanto,1,2026-04-19 10:26:09,ok
bima sakti,1,2026-04-19 08:00:00,"ini aplikasi pemerasan terselubung.. mau lihat yg suka kita, bayar. mau chat, bayar. mau apa saja, bayar. total bisa diatas 1 jutaan.. itupun berbatas waktu.."
Andi Ahmadsahid,5,2026-04-19 06:44:25,good sih kata aku mah
nandojan,1,2026-04-19 04:36:12,"Sudah match susah bener, yang good looking ditaruh di Pilihan Teratas semua, jelek banget ni app 👎🏻"
Windi Ruha,1,2026-04-18 18:04:16,"di pinta masuk nomor telpon, tapi tetap saja tidak bisa masuk pas sudah di isi. sangat buruk"
Khai san,5,2026-04-18 05:34:31,ok
Siti Sundari,5,2026-04-18 03:02:04,good
Didi Yubastiyan,5,2026-04-17 13:35:09,ok
Jamaludin Ghifari,5,2026-04-17 11:15:39,nice
Anugrah Siallagan,4,2026-04-17 10:10:36,sangat baguss
Ida jaya Komanik,5,2026-04-17 09:56:52,"aplikasi tinder saya bermasalah tidak bisa masuk ke akun saya saya, dan yg tertulis dalam aplikasi tinder. Bahwa masalahnya ada di kami, bukan di kamu kamu hanya perlu waktu sebentar."
Heri Irawan,1,2026-04-17 09:40:16,terlalu mahal bulanan nya
Aden Siangan,5,2026-04-17 05:10:24,bagus la cari pasangan
Arziana Ana,5,2026-04-17 02:26:02,bagus sekali
Julia Vivo,5,2026-04-16 16:27:46,terbaik👍💯👍💯👍💯
khedive 01,2,2026-04-16 12:18:06,ini kenapa gagal login trus ga dpt kode sms
Barlian Syah,5,2026-04-16 08:09:18,ok
Jonathan,5,2026-04-16 07:32:17,good
Asih Refi,5,2026-04-16 02:19:49,utk mulai obrolan harus bayar dulu...karena sy miskin jd sy uninstall cari yang ada gratis na aja
No Name,1,2026-04-16 00:11:19,terlalu mahal harga perbulan sekarang
Hafi Luddin,1,2026-04-15 16:38:46,susah bener mw login doang
Steven Kucing,5,2026-04-15 10:01:43,bagus cuma agak mahal top apnya
M nur Rohman,5,2026-04-15 03:27:22,cukup baik
Micho Pratama,5,2026-04-15 00:38:49,baguuus
Fatma wati Wati,5,2026-04-14 15:44:21,kenapa tinder kagak bisa masuk ada masalah apa.jangan swafoto ku dong aku asli bukan fake .. terlalu lama
Saya Sendiri,1,2026-04-14 15:01:41,apk rusak
nailaaa ptrr,2,2026-04-14 14:18:31,"kenapaa pas buka apknya ada bacaan ( kesalahan terjadi, harap coba lg nnti ) terus gbs liat profil stiap mau liat profil psti kelempar lg keluar, yg match juga gada yg ngcht biasanya ada aja, tadi nyoba bales terkirim tp pas msuk ke apk itu lg pesan yg terkirim itu hilang tolong ini gimanaaaaa"
Mad Cone,1,2026-04-14 11:51:41,aplikasi sampah dikit² aplikasi minta bayaran aplikasi apaan ini nyedot uang pengguna tinder ini aplikasi bukan cari jodoh tapi buat buang duit
Arie Setiawan,5,2026-04-14 09:36:17,excellent service for Tinder
Budi Julendra,5,2026-04-14 07:41:13,baguus
Good Father,5,2026-04-14 05:53:36,nice
doni Wahyono,5,2026-04-14 01:56:15,nice
Sultan anom09,5,2026-04-14 00:21:40,"Semoga yg pkai Tinder dapat jodoh untuk selamanya, Aamiin ya Allah 🤲🏿."
RINA Ariani,1,2026-04-13 18:22:30,masih tantan yg terbaik. ribet apk tinder
rizky junardi,5,2026-04-12 09:56:46,good
Aji indra Perdana,5,2026-04-12 07:33:42,bagus
Putri Naru,5,2026-04-12 07:24:59,puas
Mohamad Soleh,5,2026-04-12 03:09:50,sukanya d tinder orang²nya asik bwt ngobrol tp kadang ada yg modus
wahyu wahyu,5,2026-04-11 20:58:03,mantap
Riana Anadia,5,2026-04-11 12:01:50,bagus
Elang,3,2026-04-11 09:14:02,"kurang bagus baru kenal ujung""y pinjam uang"
Isak Batatta,1,2026-04-11 07:36:46,harus pakai verifikasi nomor hp dan itu sangat berbahaya bagi pengguna
tory2yaki channel,5,2026-04-11 06:46:26,"dear tinder kenapa akun saya tiba tiba diblokir apa salah saya. pertama saya tidak pernah menggunakan akun saya untuk praktek prostitute online kedua sayapun jarang sekali chat dengan teman, tetapi banyak yg cari fun atau segala jenisnya mereka masih aman akunnya. saya pakai tinder mencari jodoh dan kawan bukan untuk melakukan tindakan yang melawan hukum atau penyimpangan. atau karena saya gak ikut vip prabayar apa ini alasan anda memblokir akun saya? saya kecewa jujur sangat kecewa"
Sri Santoso,5,2026-04-11 06:45:08,sebaiknya tinder sejak awal memverifikasi photo karena banyak siluman yang wajah aslinya berbeda dengan wajah di profil. hingga saat aplikasi tinder baik² saja. hanya saja dari pihak lain yang menyalahi aturan. oke semoga sukses kedepannya dan bermanfaat bagi pengguna
Kahar Sebastian,5,2026-04-11 04:47:43,rekomendasi apk bagus
Zam,5,2026-04-10 21:27:19,mantap
maya c,5,2026-04-10 17:42:28,ok
widya official,5,2026-04-10 17:08:11,aplikasi yg mudah d gunakan
Universal Account,1,2026-04-10 11:38:33,"yang mau langganan mikir lagi deh, akun dihack orang, udah minta bantuan, kirim bukti pembelian ga bisa bantu, csnya sampah"
afifur rahman's,5,2026-04-10 05:34:28,mantap
Ahmad Rozikin,2,2026-04-10 00:58:07,bagus bentar doang sebener ya udah mulai pede mo ngobrol ada yang lokal dan asing juga tapi mo ngirim pesan atau liat orang yang suka kita harus bayar mana mahal ada yang sejuta atau enam ratus mending fokus kerja aja.
Vara Dita Larosa Kailul,5,2026-04-09 20:57:23,terimakasih tinder
Widiat moko,5,2026-04-09 15:09:06,is the best
mahdi surur,4,2026-04-09 14:11:24,ok banget
Ricky Hudaya48,5,2026-04-09 13:46:06,good
